accuracy,failures
0.9532959598049032,30.0
0.9348622915152148,43.0
0.949570624792559,35.0
0.9464294059789754,35.0
0.9494270657788574,34.0
0.964057456691764,26.0
0.9496754168134718,35.0
0.9520101544813728,31.0
0.9502221235299464,37.0
0.9383349177638892,42.0
0.965406132938472,25.0
0.9486039267179498,39.0
0.9420461493341994,38.0
0.9462509149732096,40.0
0.9448319183788814,35.0
0.9404651670277608,36.0
0.9437911302566504,33.0
0.9515489792724026,33.0
0.959678842555292,30.0
0.9584256874330258,27.0
0.9702751308035888,25.0
0.9570815600747692,31.0
0.9544540279865116,30.0
0.957313489704421,33.0
0.9550389133767704,29.0
0.955076099032974,30.0
0.9427054147212638,41.0
0.9308013309063152,41.0
0.9579875130781697,27.0
0.9495823506145494,34.0
