service_name,true_positives,false_positives,false_negatives,precision,recall,f1score
carts_energy_Anomaly,2,0,0,1.0,1.0,1.0
carts-db_energy_Anomaly,1,0,0,1.0,1.0,1.0
catalogue_energy_Anomaly,1,0,6,1.0,0.143,0.25
catalogue-db_energy_Anomaly,1,0,2,1.0,0.333,0.5
front-end_energy_Anomaly,0,0,0,0.0,0.0,0.0
orders_energy_Anomaly,1,0,0,1.0,1.0,1.0
orders-db_energy_Anomaly,1,0,0,1.0,1.0,1.0
payment_energy_Anomaly,1,0,0,1.0,1.0,1.0
queue-master_energy_Anomaly,1,0,4,1.0,0.2,0.333
rabbitmq_energy_Anomaly,0,0,6,0.0,0.0,0.0
shipping_energy_Anomaly,1,0,5,1.0,0.167,0.286
user_energy_Anomaly,1,0,0,1.0,1.0,1.0
user-db_energy_Anomaly,1,0,1,1.0,0.5,0.667
