Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.288,0.453,0.207
birch,Recall,0.0,1.0,0.0,0.288,0.453,0.207
birch,F-Score,0.0,1.0,0.0,0.288,0.453,0.207
iforest,Precision,0.0,1.0,0.0,0.225,0.418,0.177
iforest,Recall,0.0,1.0,0.0,0.225,0.418,0.177
iforest,F-Score,0.0,1.0,0.0,0.225,0.418,0.177
knn,Precision,0.0,1.0,0.0,0.288,0.453,0.207
knn,Recall,0.0,1.0,0.0,0.288,0.453,0.207
knn,F-Score,0.0,1.0,0.0,0.288,0.453,0.207
lstm,Precision,0.0,1.0,0.0,0.162,0.369,0.138
lstm,Recall,0.0,1.0,0.0,0.162,0.369,0.138
lstm,F-Score,0.0,1.0,0.0,0.162,0.369,0.138
svm,Precision,0.0,1.0,0.0,0.175,0.38,0.146
svm,Recall,0.0,1.0,0.0,0.175,0.38,0.146
svm,F-Score,0.0,1.0,0.0,0.175,0.38,0.146
