Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.325,0.468,0.222
birch,Recall,0.0,1.0,0.0,0.325,0.468,0.222
birch,F-Score,0.0,1.0,0.0,0.325,0.468,0.222
iforest,Precision,0.0,1.0,0.0,0.262,0.44,0.196
iforest,Recall,0.0,1.0,0.0,0.262,0.44,0.196
iforest,F-Score,0.0,1.0,0.0,0.262,0.44,0.196
knn,Precision,0.0,1.0,0.0,0.262,0.44,0.196
knn,Recall,0.0,1.0,0.0,0.262,0.44,0.196
knn,F-Score,0.0,1.0,0.0,0.262,0.44,0.196
lstm,Precision,0.0,1.0,0.0,0.2,0.4,0.162
lstm,Recall,0.0,1.0,0.0,0.2,0.4,0.162
lstm,F-Score,0.0,1.0,0.0,0.2,0.4,0.162
svm,Precision,0.0,1.0,0.0,0.212,0.409,0.169
svm,Recall,0.0,1.0,0.0,0.212,0.409,0.169
svm,F-Score,0.0,1.0,0.0,0.212,0.409,0.169
