Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.212,0.409,0.169
birch,Recall,0.0,1.0,0.0,0.212,0.409,0.169
birch,F-Score,0.0,1.0,0.0,0.212,0.409,0.169
iforest,Precision,0.0,1.0,0.0,0.175,0.38,0.146
iforest,Recall,0.0,1.0,0.0,0.175,0.38,0.146
iforest,F-Score,0.0,1.0,0.0,0.175,0.38,0.146
knn,Precision,0.0,1.0,0.0,0.188,0.39,0.154
knn,Recall,0.0,1.0,0.0,0.188,0.39,0.154
knn,F-Score,0.0,1.0,0.0,0.188,0.39,0.154
lstm,Precision,0.0,1.0,0.0,0.088,0.283,0.081
lstm,Recall,0.0,1.0,0.0,0.088,0.283,0.081
lstm,F-Score,0.0,1.0,0.0,0.088,0.283,0.081
svm,Precision,0.0,1.0,0.0,0.088,0.283,0.081
svm,Recall,0.0,1.0,0.0,0.088,0.283,0.081
svm,F-Score,0.0,1.0,0.0,0.088,0.283,0.081
